,order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
52,67,US-2015-164175,30-04-2015,05-05-2015,Standard Class,PS-18970,FUR-CH-10001146,213.115,5.0,0.3,-15.2225
53,70,Ca-New-2016-119823,04-06-2016,06-06-2016,First Class,KD-16270,OFF-PA-10000482,75.88,2.0,0.0,35.6636
54,71,Ca-New-2016-106075,18-09-2016,23-09-2016,Standard Class,HM-14980,OFF-BI-10004654,4.616,1.0,0.2,1.731
55,73,US-2015-134026,26-04-2015,02-05-2015,Standard Class,JE-15745,FUR-CH-10000513,831.936,8.0,0.2,-114.3912
56,74,US-2015-134026,26-04-2015,02-05-2015,Standard Class,JE-15745,FUR-FU-10003708,97.04,2.0,0.2,1.213
57,75,US-2015-134026,26-04-2015,02-05-2015,Standard Class,JE-15745,OFF-ST-10004123,72.784,1.0,0.2,-18.196
58,80,Ca-New-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,OFF-AP-10002118,208.16,1.0,0.0,56.2032
59,81,Ca-New-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,OFF-BI-10002309,16.74,3.0,0.0,8.0352
60,84,Ca-New-2015-149734,03-09-2015,08-09-2015,Standard Class,JC-16105,OFF-EN-10000927,200.984,7.0,0.2,62.8075
61,89,Ca-New-2016-159695,05-04-2016,10-04-2016,Second Class,GM-14455,OFF-ST-10003442,158.368,7.0,0.2,13.8572
62,90,Ca-New-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,OFF-AR-10004930,20.1,3.0,0.0,6.633
63,91,Ca-New-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,TEC-PH-10004093,73.584,2.0,0.2,8.2782
64,92,Ca-New-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,OFF-PA-10000304,6.48,1.0,0.0,3.1104
65,93,Ca-New-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,OFF-PA-10003177,12.96,2.0,0.0,6.2208
66,94,Ca-New-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,FUR-FU-10003799,53.34,3.0,0.0,16.5354
67,95,Ca-New-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,OFF-BI-10002852,32.96,2.0,0.0,16.1504
68,99,Ca-New-2016-149223,06-09-2016,11-09-2016,Standard Class,ER-13855,OFF-AP-10000358,77.88,6.0,0.0,22.5852
69,100,Ca-New-2016-158568,29-08-2016,02-09-2016,Standard Class,RB-19465,OFF-PA-10003256,64.624,7.0,0.2,22.6184
70,101,Ca-New-2016-158568,29-08-2016,02-09-2016,Standard Class,RB-19465,TEC-AC-10001767,95.976,3.0,0.2,-10.7973
71,102,Ca-New-2016-158568,29-08-2016,02-09-2016,Standard Class,RB-19465,OFF-BI-10002609,1.788,3.0,0.8,-3.0396
72,103,Ca-New-2016-129903,01-12-2016,04-12-2016,Second Class,GZ-14470,OFF-PA-10004040,23.92,4.0,0.0,11.7208
73,104,US-2015-156867,13-11-2015,17-11-2015,Standard Class,LC-16870,TEC-AC-10001552,238.896,6.0,0.2,-26.8758
74,105,US-2015-156867,13-11-2015,17-11-2015,Standard Class,LC-16870,FUR-FU-10004006,102.36,3.0,0.2,-3.8385
75,106,US-2015-156867,13-11-2015,17-11-2015,Standard Class,LC-16870,OFF-BI-10002794,36.882,3.0,0.7,-25.8174
76,110,Ca-New-2015-129476,15-10-2015,20-10-2015,Standard Class,PA-19060,TEC-AC-10000844,339.96,5.0,0.2,67.992
77,112,Ca-New-2016-128867,03-11-2016,10-11-2016,Standard Class,CL-12565,OFF-AR-10000380,75.96,2.0,0.0,22.788
78,113,Ca-New-2016-128867,03-11-2016,10-11-2016,Standard Class,CL-12565,OFF-BI-10003981,27.24,6.0,0.0,13.3476
79,118,Ca-New-2015-110457,02-03-2015,06-03-2015,Standard Class,DK-13090,FUR-TA-10001768,787.53,3.0,0.0,165.3813
80,119,US-2015-136476,05-04-2015,10-04-2015,Standard Class,GG-14650,OFF-BI-10003650,157.794,1.0,0.7,-115.7156
81,120,Ca-New-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,FUR-FU-10002157,47.04,3.0,0.0,18.3456
82,121,Ca-New-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,OFF-BI-10003910,30.84,4.0,0.0,13.878
83,122,Ca-New-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,OFF-ST-10000777,226.56,6.0,0.0,63.4368
84,123,Ca-New-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,OFF-EN-10002500,115.02,9.0,0.0,51.759
85,124,Ca-New-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,TEC-PH-10003875,68.04,7.0,0.0,19.7316
86,129,US-2016-125969,06-11-2016,10-11-2016,Second Class,LS-16975,FUR-CH-10001146,81.424,2.0,0.2,-9.1602
87,130,US-2016-125969,06-11-2016,10-11-2016,Second Class,LS-16975,FUR-FU-10003773,238.56,3.0,0.0,26.2416
88,134,Ca-New-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-PA-10001804,20.04,3.0,0.0,9.6192
89,135,Ca-New-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-PA-10001736,35.44,1.0,0.0,16.6568
90,136,Ca-New-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-AR-10001149,11.52,4.0,0.0,3.456
91,137,Ca-New-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-FA-10002988,4.02,2.0,0.0,1.9698
92,138,Ca-New-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-BI-10004781,76.176,3.0,0.2,26.6616
93,139,Ca-New-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-SU-10001218,65.88,6.0,0.0,18.4464
94,140,Ca-New-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,FUR-FU-10001706,43.12,14.0,0.0,20.6976
95,141,Ca-New-2016-110366,05-09-2016,07-09-2016,Second Class,JD-15895,FUR-FU-10004848,82.8,2.0,0.2,10.35
96,146,Ca-New-2015-110744,07-09-2015,12-09-2015,Standard Class,HA-14920,OFF-ST-10003656,671.93,7.0,0.0,20.1579
97,148,Ca-New-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,TEC-PH-10000215,384.45,11.0,0.0,103.8015
98,149,Ca-New-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,TEC-PH-10001448,149.97,3.0,0.0,5.9988
99,150,Ca-New-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,FUR-CH-10000454,1951.84,8.0,0.0,585.552
100,151,Ca-New-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,OFF-BI-10002735,171.55,5.0,0.0,80.6285
101,152,Ca-New-2016-158834,13-03-2016,16-03-2016,First Class,TW-21025,OFF-AP-10000326,157.92,5.0,0.2,17.766
102,153,Ca-New-2016-158834,13-03-2016,16-03-2016,First Class,TW-21025,TEC-PH-10001254,203.184,2.0,0.2,15.2388
103,154,Ca-New-2015-124919,31-05-2015,02-06-2015,First Class,SP-20650,OFF-PA-10001950,58.38,7.0,0.0,26.271
104,155,Ca-New-2015-124919,31-05-2015,02-06-2015,First Class,SP-20650,OFF-PA-10002254,105.52,4.0,0.0,48.5392
105,156,Ca-New-2015-124919,31-05-2015,02-06-2015,First Class,SP-20650,OFF-ST-10001590,80.88,6.0,0.0,21.0288
106,157,Ca-New-2015-118948,28-05-2015,03-06-2015,Standard Class,NK-18490,OFF-AR-10001547,6.63,3.0,0.0,1.7901
107,159,Ca-New-2016-114104,20-11-2016,24-11-2016,Standard Class,NP-18670,OFF-LA-10002475,14.62,2.0,0.0,6.8714
108,160,Ca-New-2016-114104,20-11-2016,24-11-2016,Standard Class,NP-18670,TEC-PH-10004536,944.93,7.0,0.0,236.2325
109,161,Ca-New-2016-162733,11-05-2016,12-05-2016,First Class,TT-21070,OFF-PA-10002751,5.98,1.0,0.0,2.691
110,162,Ca-New-2015-119697,28-12-2015,31-12-2015,Second Class,EM-13960,TEC-AC-10003657,54.384,2.0,0.2,1.3596
111,163,Ca-New-2016-154508,16-11-2016,20-11-2016,Standard Class,RD-19900,OFF-EN-10001990,28.4,5.0,0.0,13.348
112,164,Ca-New-2016-113817,07-11-2016,11-11-2016,Standard Class,MJ-17740,OFF-BI-10004002,27.68,2.0,0.2,9.688
113,178,US-2015-101511,21-11-2015,23-11-2015,Second Class,JE-15745,FUR-CH-10004698,396.802,7.0,0.3,-11.3372
114,179,US-2015-101511,21-11-2015,23-11-2015,Second Class,JE-15745,OFF-SU-10002189,15.88,5.0,0.2,-3.7715
115,180,Ca-New-2015-137225,15-12-2015,19-12-2015,Standard Class,JK-15640,OFF-AR-10001940,3.28,1.0,0.0,1.4104
116,186,Ca-New-2016-105018,28-11-2016,02-12-2016,Standard Class,SK-19990,OFF-BI-10001890,7.16,2.0,0.0,3.4368
117,188,Ca-New-2016-157000,16-07-2016,22-07-2016,Standard Class,AM-10360,OFF-ST-10001328,37.224,3.0,0.2,3.7224
118,189,Ca-New-2016-157000,16-07-2016,22-07-2016,Standard Class,AM-10360,OFF-PA-10001950,20.016,3.0,0.2,6.255
119,190,Ca-New-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,FUR-BO-10002613,899.136,4.0,0.2,112.392
120,191,Ca-New-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,TEC-PH-10001552,71.76,6.0,0.0,20.0928
121,192,Ca-New-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,OFF-PA-10000061,51.84,8.0,0.0,24.8832
122,193,Ca-New-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,FUR-BO-10002545,626.352,3.0,0.2,46.9764
123,194,Ca-New-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,OFF-AR-10003514,19.9,5.0,0.0,6.567
124,195,Ca-New-2015-131457,31-10-2015,06-11-2015,Standard Class,MZ-17515,OFF-EN-10001509,14.28,7.0,0.0,6.7116
125,212,Ca-New-2015-101007,09-02-2015,13-02-2015,Second Class,MS-17980,TEC-AC-10001266,20.8,2.0,0.2,6.5
126,213,Ca-New-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,OFF-LA-10004544,23.68,2.0,0.2,8.88
127,214,Ca-New-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,FUR-BO-10004695,452.45,5.0,0.5,-244.323
128,215,Ca-New-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,TEC-PH-10002844,62.982,3.0,0.4,-14.6958
129,216,Ca-New-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,TEC-MA-10000864,1188,9.0,0.7,-950.4
130,217,Ca-New-2015-146262,02-01-2015,09-01-2015,Standard Class,VW-21775,TEC-AC-10000109,89.584,2.0,0.2,4.4792
131,218,Ca-New-2016-130162,28-10-2016,01-11-2016,Standard Class,JH-15910,OFF-ST-10001328,93.06,6.0,0.0,26.0568
132,219,Ca-New-2016-130162,28-10-2016,01-11-2016,Standard Class,JH-15910,TEC-PH-10002563,302.376,3.0,0.2,22.6782
133,220,Ca-New-2015-169397,24-12-2015,27-12-2015,First Class,JB-15925,OFF-FA-10000585,5.584,2.0,0.2,1.8148
134,221,Ca-New-2015-169397,24-12-2015,27-12-2015,First Class,JB-15925,OFF-PA-10004000,22.704,6.0,0.2,8.2302
135,222,Ca-New-2015-169397,24-12-2015,27-12-2015,First Class,JB-15925,OFF-BI-10002852,19.776,4.0,0.7,-13.8432
136,223,Ca-New-2015-169397,24-12-2015,27-12-2015,First Class,JB-15925,FUR-FU-10000087,72.704,4.0,0.2,19.0848
137,224,Ca-New-2015-169397,24-12-2015,27-12-2015,First Class,JB-15925,TEC-MA-10001148,479.988,4.0,0.7,-383.9904
138,225,Ca-New-2015-169397,24-12-2015,27-12-2015,First Class,JB-15925,OFF-AR-10001958,27.168,2.0,0.2,2.7168
139,226,Ca-New-2015-163055,09-08-2015,16-08-2015,Standard Class,DS-13180,OFF-AR-10001026,2.2,1.0,0.0,0.968
140,227,Ca-New-2015-163055,09-08-2015,16-08-2015,Standard Class,DS-13180,FUR-TA-10003748,622.45,5.0,0.0,136.939
141,228,Ca-New-2015-163055,09-08-2015,16-08-2015,Standard Class,DS-13180,OFF-ST-10002485,21.98,1.0,0.0,0.2198
142,229,US-2015-145436,28-02-2015,04-03-2015,Standard Class,VD-21670,FUR-CH-10004860,161.568,2.0,0.2,-28.2744
143,230,US-2015-145436,28-02-2015,04-03-2015,Standard Class,VD-21670,FUR-CH-10004477,389.696,8.0,0.2,43.8408
144,238,Ca-New-2016-157749,04-06-2016,09-06-2016,Second Class,KL-16645,OFF-PA-10003349,25.92,5.0,0.2,9.396
145,239,Ca-New-2016-157749,04-06-2016,09-06-2016,Second Class,KL-16645,FUR-FU-10000576,419.68,5.0,0.6,-356.728
146,240,Ca-New-2016-157749,04-06-2016,09-06-2016,Second Class,KL-16645,FUR-FU-10004351,11.688,3.0,0.6,-4.6752
147,241,Ca-New-2016-157749,04-06-2016,09-06-2016,Second Class,KL-16645,TEC-PH-10000011,31.984,2.0,0.2,11.1944
148,242,Ca-New-2016-157749,04-06-2016,09-06-2016,Second Class,KL-16645,FUR-TA-10002607,177.225,5.0,0.5,-120.513
149,243,Ca-New-2016-157749,04-06-2016,09-06-2016,Second Class,KL-16645,FUR-FU-10002505,4.044,3.0,0.6,-2.8308
150,244,Ca-New-2016-157749,04-06-2016,09-06-2016,Second Class,KL-16645,OFF-AR-10004685,7.408,2.0,0.2,1.2038
151,250,Ca-New-2016-154739,10-12-2016,15-12-2016,Second Class,LH-17155,FUR-CH-10002965,321.568,2.0,0.2,28.1372
152,251,Ca-New-2016-145625,11-09-2016,17-09-2016,Standard Class,KC-16540,OFF-PA-10004569,7.61,1.0,0.0,3.5767
153,252,Ca-New-2016-145625,11-09-2016,17-09-2016,Standard Class,KC-16540,TEC-AC-10003832,3347.37,13.0,0.0,636.0003
154,253,Ca-New-2016-146941,10-12-2016,13-12-2016,First Class,DL-13315,OFF-ST-10001228,80.58,6.0,0.0,22.5624
155,254,Ca-New-2016-146941,10-12-2016,13-12-2016,First Class,DL-13315,OFF-EN-10003296,361.92,4.0,0.0,162.864
156,255,US-2015-159982,28-11-2015,04-12-2015,Standard Class,DR-12880,FUR-FU-10002505,12.132,9.0,0.6,-8.4924
157,256,US-2015-159982,28-11-2015,04-12-2015,Standard Class,DR-12880,OFF-ST-10004804,82.368,2.0,0.2,-19.5624
158,257,US-2015-159982,28-11-2015,04-12-2015,Standard Class,DR-12880,OFF-ST-10001590,53.92,5.0,0.2,4.044
159,258,US-2015-159982,28-11-2015,04-12-2015,Standard Class,DR-12880,TEC-PH-10001580,647.904,6.0,0.2,56.6916
160,265,Ca-New-2016-125318,06-06-2016,13-06-2016,Standard Class,RC-19825,TEC-PH-10001433,328.224,4.0,0.2,28.7196
161,266,Ca-New-2015-155040,10-11-2015,15-11-2015,Standard Class,AH-10210,TEC-AC-10004469,79.9,2.0,0.0,35.156
162,268,Ca-New-2016-111010,22-01-2016,28-01-2016,Standard Class,PG-18895,OFF-FA-10003472,7.56,6.0,0.0,0.3024
163,272,Ca-New-2015-155334,30-07-2015,31-07-2015,First Class,HA-14920,TEC-AC-10003628,209.93,7.0,0.0,92.3692
164,273,Ca-New-2015-155334,30-07-2015,31-07-2015,First Class,HA-14920,FUR-FU-10003274,5.28,3.0,0.0,2.3232
165,274,Ca-New-2015-155334,30-07-2015,31-07-2015,First Class,HA-14920,OFF-BI-10002557,10.92,3.0,0.2,4.095
166,281,US-2015-161991,26-09-2015,28-09-2015,Second Class,SC-20725,OFF-BI-10004967,2.08,5.0,0.8,-3.432
167,282,US-2015-161991,26-09-2015,28-09-2015,Second Class,SC-20725,TEC-PH-10001760,1114.4,7.0,0.2,376.11
168,283,Ca-New-2015-130890,02-11-2015,06-11-2015,Standard Class,JO-15280,FUR-TA-10002903,1038.84,5.0,0.2,51.942
169,284,Ca-New-2015-130883,26-09-2015,02-10-2015,Standard Class,TB-21520,OFF-PA-10000474,141.76,5.0,0.2,47.844
170,285,Ca-New-2015-130883,26-09-2015,02-10-2015,Standard Class,TB-21520,TEC-AC-10001956,239.8,5.0,0.2,47.96
171,286,Ca-New-2015-130883,26-09-2015,02-10-2015,Standard Class,TB-21520,OFF-PA-10004100,31.104,6.0,0.2,10.8864
172,287,Ca-New-2016-112697,18-12-2016,20-12-2016,Second Class,AH-10195,OFF-BI-10000778,254.058,7.0,0.7,-169.372
173,288,Ca-New-2016-112697,18-12-2016,20-12-2016,Second Class,AH-10195,OFF-AP-10002684,194.528,2.0,0.2,24.316
174,289,Ca-New-2016-112697,18-12-2016,20-12-2016,Second Class,AH-10195,OFF-SU-10000646,961.48,5.0,0.2,-204.3145
175,290,Ca-New-2016-110772,20-11-2016,24-11-2016,Second Class,NZ-18565,OFF-FA-10002983,19.096,7.0,0.2,6.6836
176,291,Ca-New-2016-110772,20-11-2016,24-11-2016,Second Class,NZ-18565,OFF-LA-10004689,18.496,8.0,0.2,6.2424
177,292,Ca-New-2016-110772,20-11-2016,24-11-2016,Second Class,NZ-18565,TEC-AC-10002001,255.984,2.0,0.2,54.3966
178,293,Ca-New-2016-110772,20-11-2016,24-11-2016,Second Class,NZ-18565,FUR-BO-10004709,86.97,3.0,0.5,-48.7032
179,299,Ca-New-2016-142545,28-10-2016,03-11-2016,Standard Class,JD-15895,OFF-PA-10002105,32.4,5.0,0.0,15.552
180,300,Ca-New-2016-142545,28-10-2016,03-11-2016,Standard Class,JD-15895,OFF-ST-10002756,1082.48,8.0,0.0,10.8248
181,301,Ca-New-2016-142545,28-10-2016,03-11-2016,Standard Class,JD-15895,OFF-PA-10004243,56.91,3.0,0.0,27.3168
182,302,Ca-New-2016-142545,28-10-2016,03-11-2016,Standard Class,JD-15895,FUR-FU-10001861,77.6,4.0,0.0,38.024
183,303,Ca-New-2016-142545,28-10-2016,03-11-2016,Standard Class,JD-15895,OFF-BI-10002706,14.28,1.0,0.0,6.5688
184,305,Ca-New-2015-144253,04-05-2015,09-05-2015,Second Class,AS-10225,FUR-FU-10002671,26.8,2.0,0.0,12.864
185,306,Ca-New-2014-130960,30-12-2014,04-01-2015,Standard Class,KB-16600,OFF-AR-10003651,9.84,3.0,0.0,2.8536
186,310,Ca-New-2016-142902,12-09-2016,14-09-2016,Second Class,BP-11185,FUR-FU-10001918,15.136,4.0,0.2,3.5948
187,311,Ca-New-2016-142902,12-09-2016,14-09-2016,Second Class,BP-11185,FUR-CH-10004086,466.768,2.0,0.2,52.5114
188,312,Ca-New-2016-142902,12-09-2016,14-09-2016,Second Class,BP-11185,FUR-FU-10001756,15.232,1.0,0.2,1.7136
189,313,Ca-New-2016-142902,12-09-2016,14-09-2016,Second Class,BP-11185,OFF-LA-10000634,6.264,3.0,0.2,2.0358
190,324,Ca-New-2016-162138,23-04-2016,27-04-2016,Standard Class,GK-14620,OFF-BI-10004593,251.52,6.0,0.2,81.744
191,325,Ca-New-2016-162138,23-04-2016,27-04-2016,Standard Class,GK-14620,TEC-AC-10001908,99.99,1.0,0.0,34.9965
192,327,US-2016-141544,30-08-2016,01-09-2016,First Class,PO-18850,TEC-PH-10003645,290.898,3.0,0.4,-67.8762
193,328,US-2016-141544,30-08-2016,01-09-2016,First Class,PO-18850,OFF-ST-10000675,54.224,2.0,0.2,3.389
194,329,US-2016-141544,30-08-2016,01-09-2016,First Class,PO-18850,FUR-CH-10003312,786.744,4.0,0.3,-258.5016
195,330,US-2016-141544,30-08-2016,01-09-2016,First Class,PO-18850,OFF-LA-10001074,100.24,10.0,0.2,33.831
196,331,US-2016-141544,30-08-2016,01-09-2016,First Class,PO-18850,OFF-BI-10001524,37.764,6.0,0.7,-27.6936
197,332,US-2016-150147,25-04-2016,29-04-2016,Second Class,JL-15850,TEC-PH-10004614,82.8,2.0,0.4,-20.7
198,333,US-2016-150147,25-04-2016,29-04-2016,Second Class,JL-15850,OFF-BI-10001153,20.724,2.0,0.7,-13.816
199,334,US-2016-150147,25-04-2016,29-04-2016,Second Class,JL-15850,OFF-BI-10001982,4.896,3.0,0.7,-3.4272
200,335,Ca-New-2015-137946,01-09-2015,04-09-2015,Second Class,DB-13615,OFF-BI-10001922,4.752,1.0,0.2,1.6038
201,336,Ca-New-2015-137946,01-09-2015,04-09-2015,Second Class,DB-13615,TEC-CO-10001449,959.984,2.0,0.2,335.9944
202,337,Ca-New-2015-137946,01-09-2015,04-09-2015,Second Class,DB-13615,OFF-BI-10004140,14.368,4.0,0.2,4.49
